Tribe,Country,Image,Description,Face shape:,Eye shape and size:,Nose shape:,Mouth shape:,Presence and style of scarification or tattoos:,Presence and type of headdress or hair representation:,Color palette used:,Presence of additional elements:,Overall size and proportions:,Material used:,Surface texture:,Presence and style of geometric patterns:,
Senoufo,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/04/85106_port.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84972_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84960_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84946_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Kran,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84924_port.jpg,Les Kran de Côte d'Ivoire et du Libéria sont connus pour leurs masques de guerre aux traits exagérés et effrayants.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84694_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84684_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Guerre,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84588_port.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Kran,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84576_port.jpg,Les Kran de Côte d'Ivoire et du Libéria sont connus pour leurs masques de guerre aux traits exagérés et effrayants.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Agni,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84454_port.jpg,Les Agni de Côte d'Ivoire et du Ghana sont célèbres pour leur royaume historique et leurs poids à peser l'or finement décorés.,Elongated,Small,Beak-like,Small closed,Absent,Elaborate,Vibrant,Animal features,Extra large,Wood,Smooth,Geometric,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84443_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84425_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84415_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84403_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84210_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/03/84199_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/01/84029_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/01/84001_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Senoufo,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/01/83989_port.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Djimini,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/01/83918_port.jpg,"Les Djimini de Côte d'Ivoire sont connus pour leur architecture traditionnelle, notamment leurs cases rondes à toit conique.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/01/83907_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/01/83896_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Kran,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/01/83886_port.jpg,Les Kran de Côte d'Ivoire et du Libéria sont connus pour leurs masques de guerre aux traits exagérés et effrayants.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/01/83727_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/01/83713_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Kran,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/01/83701_port.jpg,Les Kran de Côte d'Ivoire et du Libéria sont connus pour leurs masques de guerre aux traits exagérés et effrayants.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Senoufo,Cote d'Ivoire,https://www.art-masque-africain.com//images/2023/01/83689_port.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Djimini,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83591_port.jpg,"Les Djimini de Côte d'Ivoire sont connus pour leur architecture traditionnelle, notamment leurs cases rondes à toit conique.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83568_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83558_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83547_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83536_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Guerre,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83393_port.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Guerre,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83385_port.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83348_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83326_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83317_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83209_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Guerre,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83181_port.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83162_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83067_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83044_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83034_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
 Koulango,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/12/83023_port.jpg,Les Koulango du nord-est de la Côte d'Ivoire sont connus pour leur organisation sociale basée sur des lignages et leurs rites initiatiques,Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Animal features,Large,Wood,Rough,Geometric,
Kran,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82930_port.jpg,Les Kran de Côte d'Ivoire et du Libéria sont connus pour leurs masques de guerre aux traits exagérés et effrayants.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82909_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82901_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82892_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82882_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Senoufo,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82870_port.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Senoufo,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82861_port.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82851_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82791_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82780_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82759_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82750_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Guerre,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82730_port.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Guerre,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82721_port.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Guerre,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82712_port.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Kran,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82702_port.jpg,Les Kran de Côte d'Ivoire et du Libéria sont connus pour leurs masques de guerre aux traits exagérés et effrayants.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82577_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82558_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82548_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Kran,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/11/82539_port.jpg,Les Kran de Côte d'Ivoire et du Libéria sont connus pour leurs masques de guerre aux traits exagérés et effrayants.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Guerre,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/10/82440_port.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Djimini,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/07/81858_port.jpg,"Les Djimini de Côte d'Ivoire sont connus pour leur architecture traditionnelle, notamment leurs cases rondes à toit conique.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/07/81848_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/07/81514_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Kran,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/07/81502_port.jpg,Les Kran de Côte d'Ivoire et du Libéria sont connus pour leurs masques de guerre aux traits exagérés et effrayants.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Guerre,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/06/81266_port.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/06/81135_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/06/81101_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Kran,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/06/80909_port.jpg,Les Kran de Côte d'Ivoire et du Libéria sont connus pour leurs masques de guerre aux traits exagérés et effrayants.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Gouro ,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/06/80876_port.jpg,"Les Gouro de Côte d'Ivoire sont réputés pour leurs masques zoomorphes et anthropomorphes, utilisés dans les danses rituelles liées à l'agriculture.",Round,Large,Wide,Open,Geometric,Elaborate,Vibrant,Multiple faces,Large,Wood,Rough,Geometric,
Gouro ,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/06/80865_port.jpg,"Les Gouro de Côte d'Ivoire sont réputés pour leurs masques zoomorphes et anthropomorphes, utilisés dans les danses rituelles liées à l'agriculture.",Round,Large,Wide,Open,Geometric,Elaborate,Vibrant,Multiple faces,Large,Wood,Rough,Geometric,
Senoufo,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/06/80751_port.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Kran,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/06/80739_port.jpg,Les Kran de Côte d'Ivoire et du Libéria sont connus pour leurs masques de guerre aux traits exagérés et effrayants.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/06/80715_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/06/80692_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/06/80671_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/05/80542_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
